code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal
3391,3391.T,ツルハホールディングス,2022-12,CONTINUE,6,32.42,100.0,True,False,67.58,2022-07,1516.0,2040.0,2040.0,34.56,,,,,,,,,,,,,,,,,,,,,,,
6240,6240.T,ヤマシンフィルタ,2022-12,CONTINUE,6,31.24,97.44,False,False,66.2,2022-07,330.0,478.0,478.0,44.85,,,,,,,,,,,,,,,,,,,,,,,
8059,8059.T,第一実業,2022-12,CONTINUE,4,37.87,100.0,False,False,62.13,2022-09,1281.67,1466.67,1466.67,14.43,,,,,,,,,,,,,,,,,,,,,,,
3046,3046.T,ジンズホールディングス,2022-12,CONTINUE,4,28.68,86.16,True,True,57.48,2022-09,4280.0,4610.0,4610.0,7.71,,,,,,,,,,,,,,,,,,,,,,,
4776,4776.T,サイボウズ,2022-12,CONTINUE,6,45.8,100.0,False,False,54.2,2022-07,1141.0,2424.0,2424.0,112.45,,,,,,,,,,,,,,,,,,,,,,,
2884,2884.T,ヨシムラ・フード・ホールディングス,2022-12,CONTINUE,5,40.17,93.58,True,True,53.41,2022-08,501.0,648.0,648.0,29.34,,,,,,,,,,,,,,,,,,,,,,,
4714,4714.T,リソー教育グループ,2022-12,CONTINUE,2,32.7,84.81,True,True,52.11,2022-11,323.0,366.0,366.0,13.31,,,,,,,,,,,,,,,,,,,,,,,
7164,7164.T,全国保証,2022-12,CONTINUE,4,40.74,92.13,False,False,51.39,2022-09,2407.5,2525.0,2525.0,4.88,,,,,,,,,,,,,,,,,,,,,,,
4587,4587.T,ペプチドリーム,2022-12,CONTINUE,6,37.2,88.09,True,True,50.89,2022-07,1655.0,2077.0,2077.0,25.5,,,,,,,,,,,,,,,,,,,,,,,
7947,7947.T,エフピコ,2022-12,CONTINUE,6,48.57,98.77,True,False,50.2,2022-07,2994.0,3790.0,3790.0,26.59,,,,,,,,,,,,,,,,,,,,,,,
9830,9830.T,トラスコ中山,2022-12,CONTINUE,4,30.35,79.28,True,False,48.94,2022-09,1992.0,2035.0,2035.0,2.16,,,,,,,,,,,,,,,,,,,,,,,
7157,7157.T,ライフネット生命保険,2022-12,CONTINUE,7,51.83,100.0,True,True,48.17,2022-06,831.0,1176.0,1176.0,41.52,,,,,,,,,,,,,,,,,,,,,,,
9757,9757.T,船井総研ホールディングス,2022-12,CONTINUE,6,38.28,85.58,False,False,47.3,2022-07,1169.0,1359.0,1359.0,16.25,,,,,,,,,,,,,,,,,,,,,,,
4927,4927.T,ポーラ・オルビスホールディングス,2022-12,CONTINUE,7,33.41,80.41,True,True,47.0,2022-06,1671.0,1860.0,1860.0,11.31,,,,,,,,,,,,,,,,,,,,,,,
9793,9793.T,ダイセキ,2022-12,CONTINUE,2,35.85,82.7,False,True,46.86,2022-11,4700.0,4540.0,4540.0,-3.4,,,,,,,,,,,,,,,,,,,,,,,
3983,3983.T,オロ,2022-12,CONTINUE,5,20.84,66.87,True,True,46.03,2022-08,1776.0,1894.0,1894.0,6.64,,,,,,,,,,,,,,,,,,,,,,,
8056,8056.T,ＢＩＰＲＯＧＹ,2022-12,CONTINUE,3,53.97,100.0,False,False,46.03,2022-10,3215.0,3345.0,3345.0,4.04,,,,,,,,,,,,,,,,,,,,,,,
3665,3665.T,エニグモ,2022-12,CONTINUE,8,30.18,76.05,True,True,45.87,2022-05,552.0,638.0,638.0,15.58,,,,,,,,,,,,,,,,,,,,,,,
