code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date
1375,1375.T,ユキグニファクトリー,2023-02,OUT,10,40.07,57.5,False,True,17.43,2022-05,851.0,1028.0,1028.0,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1002.0,17.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,1662.T,石油資源開発,2023-02,OUT,1,75.95,80.08,True,True,4.13,2023-02,989.0,989.0,989.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,893.0,-9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,1663.T,Ｋ＆Ｏエナジーグループ,2023-02,OUT,1,67.76,69.64,True,True,1.87,2023-02,1080.5,1080.5,1080.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1055.0,-2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,1719.T,安藤・間,2023-02,OUT,1,51.39,69.16,False,True,17.77,2023-02,878.0,878.0,878.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,856.0,-2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,1801.T,大成建設,2023-02,OUT,1,73.11,92.0,False,True,18.89,2023-02,4440.0,4440.0,4440.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,4095.0,-7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,1898.T,世紀東急工業,2023-02,OUT,2,52.71,78.68,True,True,25.96,2023-01,809.0,833.0,833.0,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,811.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,1926.T,ライト工業,2023-02,OUT,2,49.05,56.47,True,False,7.41,2023-01,1927.0,1956.0,1956.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1951.0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,1928.T,積水ハウス,2023-02,OUT,1,54.8,63.83,False,True,9.03,2023-02,2579.5,2579.5,2579.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,2698.0,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,1975.T,朝日工業社,2023-02,OUT,1,70.29,86.37,False,True,16.08,2023-02,1073.5,1073.5,1073.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1093.0,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,1979.T,大氣社,2023-02,OUT,9,61.26,73.86,False,True,12.6,2022-06,1590.0,1792.5,1792.5,12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,1840.0,15.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
