code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
1419,1419.T,タマホーム,2023-05,OUT,5,72.96,83.99,False,False,11.03,2023-01,3185.0,3485.0,3485.0,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,3305.0,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,1766.T,東建コーポレーション,2023-05,OUT,4,34.05,44.29,False,False,10.24,2023-02,7730.0,7260.0,7260.0,-6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,7430.0,-3.88,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,1873.T,日本ハウスホールディングス,2023-05,OUT,1,38.55,55.41,False,True,16.86,2023-05,372.0,372.0,372.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,370.0,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,2121.T,ＭＩＸＩ,2023-05,OUT,4,70.27,72.9,False,False,2.63,2023-02,2675.0,2728.0,2728.0,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2675.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,2153.T,Ｅ・Ｊホールディングス,2023-05,OUT,12,67.9,68.26,False,False,0.36,2022-06,1189.0,1483.0,1483.0,24.73,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1613.0,35.66,,,,,,,,,,,,,,,,,,,,,,,,,,
2154,2154.T,オープンアップグループ,2023-05,OUT,1,56.06,64.26,False,True,8.19,2023-05,1855.0,1855.0,1855.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,2097.0,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,
2168,2168.T,パソナグループ,2023-05,OUT,8,29.57,39.15,False,True,9.59,2022-10,2052.0,1738.0,1738.0,-15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,1663.0,-18.96,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,2378.T,ルネサンス,2023-05,OUT,5,37.16,60.17,True,False,23.01,2023-01,916.0,903.0,903.0,-1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,895.0,-2.29,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,2737.T,トーメンデバイス,2023-05,OUT,7,43.44,54.43,True,True,10.99,2022-11,5570.0,5740.0,5740.0,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,5040.0,-9.52,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,2980.T,SREホールディングス,2023-05,OUT,1,50.91,54.84,True,True,3.93,2023-05,3535.0,3535.0,3535.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,3820.0,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,
