code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1433,1433.T,ベステラ,2024-12,OUT,2,45.32,53.01,True,True,7.69,2024-11,997.0,1076.0,1076.0,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,964.0,-3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,53.01,45.32,True,True,7.69
1662,1662.T,石油資源開発,2024-12,OUT,1,54.52,54.9,False,True,0.38,2024-12,1135.0,1135.0,1135.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1107.0,-2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,54.9,54.52,True,False,0.38
1663,1663.T,Ｋ＆Ｏエナジーグループ,2024-12,OUT,1,63.04,67.71,True,True,4.68,2024-12,1887.5,1887.5,1887.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1645.0,-12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,67.71,63.04,True,True,4.68
1719,1719.T,安藤・間,2024-12,OUT,2,57.58,60.4,False,True,2.83,2024-11,1168.0,1190.0,1190.0,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,1162.0,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,60.4,57.58,True,False,2.83
1801,1801.T,大成建設,2024-12,OUT,1,66.29,67.07,False,True,0.79,2024-12,6639.0,6639.0,6639.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,6519.0,-1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,67.07,66.29,True,False,0.79
1812,1812.T,鹿島建設,2024-12,OUT,1,60.84,64.32,False,True,3.48,2024-12,2881.0,2881.0,2881.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,2769.0,-3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,64.32,60.84,True,False,3.48
1860,1860.T,戸田建設,2024-12,OUT,1,56.61,56.88,False,True,0.27,2024-12,962.5,962.5,962.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,940.9,-2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,56.88,56.61,True,False,0.27
1878,1878.T,大東建託,2024-12,OUT,1,60.62,61.07,False,True,0.45,2024-12,3515.0,3515.0,3515.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,3327.0,-5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,61.07,60.62,True,False,0.45
1887,1887.T,日本国土開発,2024-12,OUT,6,43.64,46.44,True,True,2.8,2024-07,500.0,519.0,519.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,498.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,46.44,43.64,True,True,2.8
1926,1926.T,ライト工業,2024-12,OUT,1,59.56,59.95,True,True,0.38,2024-12,2220.0,2220.0,2220.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01,2193.0,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,59.95,59.56,True,True,0.38
