code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,high52_price,high52_distance_pct,high52_breakout,volume_ratio_5_30,atr14_pct,atr_ratio_10_20,vcp_tight,stage,supertrend_up,rsr_score,rsr_momentum,mvp_signal,cosmos_focus,cosmos_focus_type,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
1332,1332.T,ニッスイ,2025-11,OUT,5,70.03,80.01,True,True,9.98,2025-07,885.3,1235.5,1235.5,39.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1144.0,29.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,80.01,70.03,True,True,9.98
1419,1419.T,タマホーム,2025-11,OUT,3,50.8,51.67,True,True,0.87,2025-09,3650.0,3670.0,3670.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,3580.0,-1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,51.67,50.8,True,True,0.87
1605,1605.T,ＩＮＰＥＸ,2025-11,OUT,7,68.37,77.89,True,True,9.52,2025-05,1951.5,3331.0,3331.0,70.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,3127.0,60.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,77.89,68.37,True,True,9.52
1803,1803.T,清水建設,2025-11,OUT,8,85.78,91.67,True,True,5.9,2025-04,1525.5,2771.0,2771.0,81.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2668.5,74.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,91.67,85.78,True,True,5.9
1885,1885.T,東亜建設工業,2025-11,OUT,13,84.86,88.93,True,True,4.07,2024-11,1189.0,2928.0,2928.0,146.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,2831.0,138.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,88.93,84.86,True,True,4.07
1893,1893.T,五洋建設,2025-11,OUT,12,81.5,90.2,True,True,8.7,2024-12,654.5,1725.0,1725.0,163.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1575.5,140.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,90.2,81.5,True,True,8.7
1899,1899.T,福田組,2025-11,OUT,5,65.17,74.9,True,True,9.73,2025-07,2665.0,3980.0,3980.0,49.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,3760.0,41.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,74.9,65.17,True,True,9.73
1925,1925.T,大和ハウス工業,2025-11,OUT,1,69.86,70.47,True,True,0.61,2025-11,5327.0,5327.0,5327.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,5198.0,-2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,70.47,69.86,True,True,0.61
1945,1945.T,東京エネシス,2025-11,OUT,9,75.75,78.23,True,True,2.48,2025-03,1090.0,1889.0,1889.0,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,1833.0,68.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,78.23,75.75,True,True,2.48
1952,1952.T,新日本空調,2025-11,OUT,8,74.05,75.33,True,True,1.28,2025-04,2115.0,3180.0,3180.0,50.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,3145.0,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tv_wilder_rsi14_sma5_v1,75.33,74.05,True,True,1.28
