code,ticker,name,signal_month,status,months_active,rsi14,rsi5,rsi14_up,rsi5_up,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct,sma25,sma75,sma200,price_above_sma25,price_above_sma75,price_above_sma200,perfect_order,sma25_up,sma75_up,sma200_up,avg_volume30,sector,industry,quote_type,exit_month,exit_price,return_at_exit_pct,per,forward_per,pbr,book_value,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct
1333,1333.T,Ｕｍｉｏｓ,2026-03,OUT,7,76.66,77.23,False,False,0.57,2025-09,1143.67,1456.5,1456.5,27.35,,,,,,,,,,,,,,,2026-04,1325.5,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,1377.T,サカタのタネ,2026-03,OUT,8,64.48,68.18,False,False,3.7,2025-08,3585.0,4310.0,4310.0,20.22,,,,,,,,,,,,,,,2026-04,4125.0,15.06,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,1379.T,ホクト,2026-03,OUT,1,54.21,57.3,False,False,3.09,2026-03,1903.0,1903.0,1903.0,0.0,,,,,,,,,,,,,,,2026-04,1828.0,-3.94,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,1414.T,ショーボンドホールディングス,2026-03,OUT,13,59.29,78.85,False,False,19.56,2025-03,1193.25,1404.0,1404.0,17.66,,,,,,,,,,,,,,,2026-04,1325.0,11.04,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,1419.T,タマホーム,2026-03,OUT,6,65.02,82.61,True,True,17.59,2025-10,3615.0,3990.0,3990.0,10.37,,,,,,,,,,,,,,,2026-04,3555.0,-1.66,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,1605.T,ＩＮＰＥＸ,2026-03,OUT,11,87.81,90.91,True,True,3.1,2025-05,1951.5,4678.0,4678.0,139.71,,,,,,,,,,,,,,,2026-04,4150.0,112.66,,,,,,,,,,,,,,,,,,,,,,,,,,
166A,166A.T,タスキホールディングス,2026-03,OUT,5,58.02,65.52,True,False,7.5,2025-11,799.0,784.0,784.0,-1.88,,,,,,,,,,,,,,,2026-04,798.0,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,1820.T,西松建設,2026-03,OUT,6,57.46,57.71,False,False,0.25,2025-10,5299.0,5719.0,5719.0,7.93,,,,,,,,,,,,,,,2026-04,5760.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,1860.T,戸田建設,2026-03,OUT,10,73.56,76.41,False,False,2.85,2025-06,915.8,1448.0,1448.0,58.11,,,,,,,,,,,,,,,2026-04,1417.0,54.73,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,1873.T,日本ハウスホールディングス,2026-03,OUT,7,46.78,71.79,False,True,25.01,2025-09,314.0,314.0,314.0,0.0,,,,,,,,,,,,,,,2026-04,302.0,-3.82,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,1898.T,世紀東急工業,2026-03,OUT,8,47.2,51.72,False,False,4.52,2025-08,1535.0,1500.0,1500.0,-2.28,,,,,,,,,,,,,,,2026-04,1453.0,-5.34,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,1928.T,積水ハウス,2026-03,OUT,8,48.03,61.11,False,False,13.08,2025-08,3333.0,3520.0,3520.0,5.61,,,,,,,,,,,,,,,2026-04,3410.0,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,1963.T,日揮ホールディングス,2026-03,OUT,11,76.29,81.46,False,False,5.17,2025-05,1216.5,2272.0,2272.0,86.77,,,,,,,,,,,,,,,2026-04,2383.0,95.89,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,1982.T,日比谷総合設備,2026-03,OUT,9,63.33,63.52,False,False,0.2,2025-07,2060.0,2699.0,2699.0,31.02,,,,,,,,,,,,,,,2026-04,3010.0,46.12,,,,,,,,,,,,,,,,,,,,,,,,,,
