code,ticker,name,signal_month,status,months_active,rsi14,rsi5,diff,gc_month,gc_price,signal_month_close,period_price,return_since_gc_pct
6630,6630.T,YA-MAN LTD,2026-06,CONTINUE,2,32.28,91.3,59.02,2026-05,722.0,753.0,753.0,2.35
4689,4689.T,LY CORPORATION,2026-06,CONTINUE,3,31.65,78.62,46.97,2026-04,412.3,433.8,433.8,8.51
9739,9739.T,NSW INC,2026-06,CONTINUE,2,26.09,72.73,46.64,2026-05,2538.0,2524.0,2524.0,-0.55
2267,2267.T,YAKULT HONSHA CO,2026-06,CONTINUE,8,42.17,85.67,43.5,2025-11,2444.0,2746.0,2746.0,15.98
3968,3968.T,SEGUE GROUP CO LTD,2026-06,NEW,1,51.62,94.92,43.29,2026-06,565.0,565.0,565.0,6.55
3046,3046.T,JINS HOLDINGS INC,2026-06,CONTINUE,3,45.41,88.68,43.27,2026-04,6630.0,8050.0,8050.0,-4.37
6869,6869.T,SYSMEX CORP,2026-06,CONTINUE,4,14.66,50.83,36.17,2026-03,1368.5,1470.5,1470.5,18.96
2590,2590.T,DYDO GROUP HOLDINGS INC,2026-06,CONTINUE,8,39.92,74.76,34.84,2025-11,2548.0,2667.0,2667.0,13.97
4051,4051.T,GMO FINANCIAL GATE INC,2026-06,CONTINUE,3,62.1,95.38,33.29,2026-04,5690.0,6850.0,6850.0,16.7
4413,4413.T,BAUDROIE INC,2026-06,CONTINUE,2,47.16,78.99,31.84,2026-05,2427.0,2636.0,2636.0,28.76
2685,2685.T,AND ST HD CO LTD,2026-06,CONTINUE,12,63.58,93.96,30.38,2025-07,3005.0,3465.0,3465.0,14.31
4543,4543.T,TERUMO CORP,2026-06,CONTINUE,2,35.97,63.94,27.97,2026-05,2401.0,2234.0,2234.0,-5.56
2170,2170.T,LINK AND MOTIVATION INC,2026-06,CONTINUE,5,46.26,74.19,27.93,2026-02,562.0,548.0,548.0,6.23
2752,2752.T,FUJIO FOOD GROUP INC,2026-06,CONTINUE,2,40.12,66.67,26.54,2026-05,1140.0,1108.0,1108.0,-2.63
4704,4704.T,TREND MICRO INC,2026-06,CONTINUE,2,21.89,47.99,26.1,2026-05,6010.0,5982.0,5982.0,7.82
5889,5889.T,JAPAN EYEWEAR HOLDINGS CO LTD,2026-06,CONTINUE,4,50.47,75.6,25.13,2026-03,2003.0,2328.0,2328.0,15.98
3182,3182.T,OISIX INC,2026-06,NEW,1,51.56,76.64,25.08,2026-06,1505.0,1505.0,1505.0,3.39
2222,2222.T,KOTOBUKI SPIRITS,2026-06,CONTINUE,5,59.97,84.53,24.56,2026-02,1987.5,2489.0,2489.0,30.74
