code,ticker,name,sector,industry,quote_type,signal_month,status,months_active,rsi14,rsi5,diff,gc_month,gc_price,signal_month_close,current_price,change_from_signal_month_pct,return_since_gc_pct,per,forward_per,pbr,book_value,forward_annual_dividend,trailing_annual_dividend,dividend_change_pct,dividend_yield_pct,payout_ratio_pct,roe_pct,roa_pct,profit_margin_pct,operating_margin_pct,revenue_growth_pct,earnings_growth_pct,current_ratio,quick_ratio,debt_to_equity_pct,equity_ratio_pct,market_cap_oku,enterprise_value_oku,operating_cashflow_oku,free_cashflow_oku,total_cash_oku,total_debt_oku,ebitda_oku,beta,shares_outstanding_million,data_completeness_pct,next_earnings_date,earnings_date_start,earnings_date_end,ex_dividend_date,last_dividend_date,cosmos_focus,cosmos_focus_type,signal_version,monthly_rsi14,monthly_rsi_ma5,monthly_rsi14_up,monthly_rsi_ma5_up,monthly_rsi_spread
6976,6976.T,太陽誘電,,,,2026-06,CONTINUE,3,69.62,86.75,17.14,2026-04,6392.0,20150.0,11035.0,-45.24,72.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,False,,tv_wilder_rsi14_sma5_v1,86.75,69.62,,,17.14
6997,6997.T,日本ケミコン,,,,2026-06,CONTINUE,3,70.73,84.71,13.98,2026-04,2660.0,5490.0,3160.0,-42.44,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,True,BOTH,tv_wilder_rsi14_sma5_v1,84.71,70.73,,,13.98
3480,3480.T,ジェイ・エス・ビー,,,,2026-06,CONTINUE,4,74.63,88.08,13.45,2026-03,4985.0,8980.0,8980.0,0.0,80.14,28.57,33.4,4.11,2187.35,210.0,105.0,100.0,2.34,33.37,15.16,5.54,8.34,30.65,7.5,12.1,1.38,1.27,69.23,46.8,1892.36,1988.14,87.91,-20.04,223.34,319.12,104.69,0.07,21.07,100.0,,2025-06-13,2025-06-13,2026-10-29,2025-10-30,True,MVP,tv_wilder_rsi14_sma5_v1,88.08,74.63,,,13.45
8173,8173.T,Ｊｏｓｈｉｎ,,,,2026-06,CONTINUE,15,71.62,84.84,13.22,2025-04,2223.0,3930.0,3565.0,-9.29,60.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,False,,tv_wilder_rsi14_sma5_v1,84.84,71.62,,,13.22
6779,6779.T,日本電波工業,,,,2026-06,CONTINUE,12,69.75,82.93,13.18,2025-07,845.0,3425.0,2719.0,-20.61,221.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,False,,tv_wilder_rsi14_sma5_v1,82.93,69.75,,,13.18
6981,6981.T,村田製作所,,,,2026-06,CONTINUE,3,75.11,88.18,13.08,2026-04,5156.0,11395.0,7632.0,-33.02,48.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,True,BOTH,tv_wilder_rsi14_sma5_v1,88.18,75.11,,,13.08
6098,6098.T,リクルートホールディングス,,,,2026-06,CONTINUE,2,52.3,65.28,12.97,2026-05,10570.0,11330.0,12820.0,13.15,21.29,36.9,42.36,11.31,1134.01,26.0,25.0,4.0,0.2,7.19,30.83,15.04,13.44,18.08,11.5,61.1,1.78,1.56,11.68,56.77,178476.38,172858.19,6694.31,4261.19,7255.78,1862.75,6979.33,0.91,1392.17,100.0,2026-08-07,2026-08-07,2026-08-07,2026-09-29,2027-03-30,True,MVP,tv_wilder_rsi14_sma5_v1,65.28,52.3,,,12.97
2810,2810.T,ハウス食品グループ本社,,,,2026-06,CONTINUE,2,62.0,74.81,12.81,2026-05,3417.0,3747.0,3900.0,4.08,14.14,49.02,24.77,1.21,3223.48,100.0,70.0,42.86,2.56,87.81,2.71,2.61,2.32,5.1,-1.4,,3.03,2.41,5.8,66.96,3495.02,3010.31,244.74,99.02,1018.41,187.04,319.43,0.01,89.62,96.4,2026-05-11,2026-07-30,2026-07-30,2026-09-29,2027-03-30,False,,tv_wilder_rsi14_sma5_v1,74.81,62.0,,,12.81
7600,7600.T,日本エム・ディ・エム,,,,2026-06,CONTINUE,7,50.94,63.61,12.68,2025-12,487.0,880.0,963.0,9.43,97.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,False,,tv_wilder_rsi14_sma5_v1,63.61,50.94,,,12.68
6266,6266.T,タツモ,,,,2026-06,CONTINUE,3,57.11,69.6,12.49,2026-04,2904.0,4710.0,4610.0,-2.12,58.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,False,,tv_wilder_rsi14_sma5_v1,69.6,57.11,,,12.49
